id,won_lottry,male,base_age,finish8th,use_fin_aid,school
302,1,1,10,1,1,1
304,0,1,11,1,0,3
305,0,0,12,0,0,4
308,0,1,10,1,0,4
309,1,0,11,1,0,5
310,1,1,13,1,1,4
316,0,1,14,0,0,1
317,1,1,12,0,1,4
318,1,0,11,1,1,3
321,0,0,15,1,0,2
323,1,1,11,1,1,2
324,1,0,12,1,1,1
327,0,1,13,0,0,4
329,1,1,12,1,1,3
334,0,1,11,1,0,5
337,1,1,11,0,1,1
339,0,1,13,0,0,5
341,1,1,12,1,1,3
342,0,0,11,1,0,3
344,1,1,13,1,1,4
347,0,0,12,1,1,3
349,1,1,14,0,1,4
350,1,1,11,1,1,4
353,0,0,10,1,0,5
354,0,0,11,0,1,4
359,1,1,12,1,1,1
362,1,1,10,1,1,2
366,0,1,11,1,1,2
367,1,0,13,0,1,2
368,1,1,14,1,1,4
370,0,1,12,0,0,4
371,0,0,11,1,0,2
373,0,0,11,1,0,1
374,1,1,11,1,1,5
375,0,0,12,0,0,2
378,1,0,12,0,1,5
380,0,0,13,0,0,1
381,1,1,10,1,1,4
383,0,0,12,0,0,5
384,0,1,11,1,1,5
385,1,1,12,1,1,1
386,0,1,13,1,1,1
389,1,1,13,1,1,3
390,1,1,13,1,1,3
391,0,0,11,1,0,4
392,0,0,12,1,0,1
394,1,0,10,1,1,2
395,1,1,11,1,1,1
399,0,0,11,1,0,1
400,0,1,13,1,0,2
401,1,0,12,1,1,4
403,0,0,13,0,0,5
404,0,1,11,1,0,5
405,0,1,11,0,0,5
406,0,0,13,0,0,4
410,0,1,12,1,1,3
411,1,0,16,0,1,3
414,0,0,12,1,1,5
416,1,0,12,1,1,2
422,1,1,13,0,1,4
424,1,0,11,0,0,4
425,0,0,11,0,0,5
427,1,0,12,1,1,4
430,0,0,12,1,0,2
434,0,1,12,1,1,5
435,1,0,11,1,1,4
437,0,1,11,0,1,5
439,0,0,11,1,0,3
441,1,0,11,1,1,1
442,0,0,12,0,1,5
445,1,0,12,1,1,2
447,1,1,14,1,1,3
452,0,0,11,1,1,2
453,1,0,10,1,1,4
454,0,1,11,1,0,5
455,1,1,12,1,1,2
456,1,0,12,0,1,1
459,1,0,11,1,1,5
460,0,0,12,0,1,1
461,0,1,12,1,0,4
463,0,1,10,1,0,2
466,1,1,13,0,0,5
468,1,1,10,1,1,4
469,0,1,14,0,0,1
472,1,1,9,1,1,3
475,0,0,14,1,1,1
476,1,1,15,0,1,4
477,0,1,11,1,0,2
478,0,0,12,1,0,4
483,0,0,14,1,1,2
485,0,1,12,1,1,2
486,0,0,11,1,1,5
487,0,1,14,0,0,4
489,1,1,12,1,1,3
490,0,1,13,1,0,4
492,0,1,15,0,0,5
494,1,1,11,1,1,1
497,1,0,13,1,1,1
499,1,1,13,0,1,3
500,1,1,11,1,1,4
501,0,1,11,1,1,5
503,1,0,12,1,1,4
504,0,1,10,1,0,5
506,0,1,16,1,0,1
507,0,0,14,1,0,5
508,0,1,7,1,0,4
511,0,0,12,1,0,3
513,0,0,11,1,0,5
515,1,0,14,1,1,2
520,1,1,11,1,1,2
524,1,1,11,1,1,4
525,1,0,11,1,1,1
526,1,1,10,1,1,3
527,0,1,13,0,0,3
528,1,1,13,1,1,4
532,1,1,13,1,1,3
533,1,0,12,1,1,2
539,0,0,11,1,0,4
540,0,1,11,0,1,1
541,1,1,11,0,1,5
543,1,0,12,1,0,2
544,1,0,14,1,1,5
545,1,0,11,1,1,5
551,0,1,11,0,0,4
552,0,1,13,0,0,1
554,1,0,12,1,1,2
556,1,0,11,1,1,4
557,0,0,11,1,0,1
559,1,0,15,1,1,2
561,1,1,15,1,1,3
563,1,0,11,0,1,4
564,1,1,13,1,1,5
565,1,0,11,1,1,5
567,1,0,11,0,1,2
574,1,1,15,1,1,1
575,1,1,11,1,1,5
580,1,1,11,1,1,4
583,0,0,13,0,1,5
586,0,1,14,1,1,2
593,0,0,13,0,0,4
594,0,0,12,1,0,1
595,0,0,14,1,0,2
596,0,1,11,0,0,5
600,0,0,12,0,0,2
602,0,0,14,1,0,3
604,0,1,13,0,0,1
605,0,1,12,1,0,2
607,1,0,13,1,1,5
608,1,1,11,1,1,1
611,1,1,12,0,1,4
614,0,0,11,1,0,4
618,1,1,11,1,1,5
619,0,0,10,1,1,2
622,0,1,11,1,0,2
623,1,1,12,1,1,4
625,0,0,12,1,1,4
626,1,1,13,1,1,5
632,1,0,10,1,1,5
637,1,0,15,1,1,5
640,1,0,11,1,1,1
641,1,0,11,1,1,4
642,1,1,12,1,1,1
646,1,0,11,1,1,2
647,0,0,14,0,0,1
651,1,0,12,1,1,3
652,1,0,14,0,1,5
654,0,1,13,1,0,1
656,1,1,11,0,0,2
657,1,1,14,1,1,3
658,1,1,14,0,1,4
660,1,0,15,1,1,3
661,1,0,13,1,1,1
664,1,1,11,0,1,4
666,1,1,13,0,0,2
667,1,1,12,1,1,5
668,1,1,11,1,1,4
671,1,0,12,1,1,2
672,1,1,11,1,1,4
673,0,1,11,1,1,3
677,0,0,11,1,1,4
680,1,1,13,0,1,4
682,1,0,14,1,1,2
684,1,0,11,1,1,1
688,1,0,13,1,1,4
690,1,0,11,1,1,4
691,1,0,12,0,0,3
694,0,1,11,1,0,2
698,1,0,11,1,1,4
699,1,0,11,1,1,4
701,0,0,11,1,0,4
702,0,0,12,1,0,5
705,1,1,10,1,0,2
707,0,0,13,0,0,4
708,0,1,11,1,0,5
710,1,1,14,0,1,3
712,0,1,11,1,0,1
718,1,0,12,1,1,2
720,0,0,14,1,0,4
724,0,0,11,1,0,3
729,0,0,14,0,1,4
733,0,0,13,0,1,2
734,1,0,12,1,1,2
736,0,1,11,1,0,2
740,1,0,10,1,1,3
745,0,0,14,0,0,4
746,1,1,13,0,1,4
747,0,0,10,1,0,1
748,1,0,11,1,1,5
749,1,0,11,1,1,2
750,0,0,12,1,0,5
752,0,1,11,1,1,1
754,1,0,12,0,1,5
755,1,1,10,1,1,5
758,0,0,10,1,1,1
759,0,0,16,0,1,4
760,0,1,13,0,0,3
765,1,1,14,0,1,4
768,0,0,11,1,0,1
770,1,1,11,1,1,1
771,0,1,13,1,0,2
772,1,1,14,1,1,1
773,0,1,12,0,0,3
774,0,0,11,1,0,2
775,0,0,12,1,0,4
780,0,0,12,1,0,3
782,1,0,10,1,1,3
783,0,1,13,0,0,3
784,1,0,10,1,1,4
785,1,0,14,0,1,1
786,0,1,13,1,0,5
789,0,1,14,0,0,2
793,0,0,12,0,0,2
794,1,0,11,1,1,5
795,0,0,11,0,1,5
796,0,1,12,1,0,4
797,0,0,11,0,0,4
800,0,0,11,1,1,2
804,1,1,13,0,1,4
806,1,1,12,0,1,2
808,1,0,12,1,1,3
809,0,1,11,1,0,5
813,0,0,12,0,1,3
815,0,0,14,0,1,1
816,1,1,10,1,1,3
820,0,0,11,1,0,1
822,0,1,10,1,0,2
824,0,0,11,1,0,5
829,1,1,10,1,1,5
837,0,1,11,1,0,1
839,1,1,11,1,0,2
840,0,1,13,1,0,2
842,0,1,12,1,0,4
843,0,1,12,1,0,3
849,1,1,11,0,1,5
850,1,0,12,1,0,1
853,1,1,11,1,1,3
854,1,1,12,0,1,1
855,0,0,12,0,0,5
856,0,0,10,1,0,1
857,1,0,11,1,1,5
858,1,1,13,0,1,4
859,1,1,12,0,1,2
865,0,0,12,1,0,1
866,0,1,12,0,0,2
870,1,1,11,1,1,4
872,0,0,10,1,1,2
875,0,1,11,0,0,5
884,1,0,11,1,1,1
888,1,0,11,0,1,2
891,1,0,11,1,1,3
895,1,0,11,0,0,1
896,1,0,11,1,1,3
898,1,0,12,1,1,3
900,0,1,13,1,1,1
901,1,1,13,1,1,4
902,1,0,11,1,1,2
906,1,1,16,0,1,3
909,0,1,11,0,0,2
912,0,0,12,1,0,2
914,1,0,11,0,1,5
915,0,1,11,0,0,5
920,1,0,15,0,1,4
921,1,0,13,1,0,5
923,1,1,12,0,0,5
924,1,0,11,1,0,4
926,0,1,11,1,1,2
928,0,1,13,0,1,3
930,1,1,11,1,1,5
935,1,0,14,0,1,3
936,1,1,14,1,1,2
939,1,1,11,1,1,4
941,0,1,11,1,1,3
947,0,1,11,0,0,3
953,0,1,12,0,1,3
954,0,0,11,1,1,1
955,0,0,9,0,0,1
959,0,1,14,0,0,4
962,1,0,12,0,1,1
963,0,1,10,0,1,1
966,0,0,12,0,1,5
968,0,1,10,1,1,3
969,1,0,13,1,1,3
975,0,1,13,1,0,5
981,0,1,11,0,0,1
983,0,1,12,1,0,3
984,1,1,10,0,1,2
988,1,1,11,1,1,1
989,0,1,11,0,1,5
992,1,0,10,1,1,1
993,1,0,14,1,1,2
996,1,0,11,1,1,5
997,0,1,11,1,0,1
998,1,1,13,0,1,5
1000,1,0,12,1,1,5
1003,0,0,12,1,0,2
1007,1,0,11,1,1,3
1009,1,0,11,1,1,5
1010,0,0,14,1,1,4
1011,0,1,12,1,1,4
1013,1,0,12,0,1,1
1014,0,0,12,1,0,5
1015,0,0,11,1,0,3
1017,1,0,13,0,1,4
1018,1,1,11,1,0,1
1019,1,1,11,1,1,4
1024,0,0,12,0,0,1
1026,1,0,11,1,1,2
1027,1,0,11,1,1,4
1031,0,1,11,1,1,3
1032,1,1,11,1,1,1
1034,1,0,11,1,1,3
1035,1,1,11,1,1,1
1036,0,1,14,0,0,3
1038,0,0,12,0,0,4
1040,1,1,14,1,1,4
1041,0,1,13,0,0,4
1045,0,1,9,0,1,4
1047,0,0,13,1,0,2
1049,0,1,12,1,1,4
1050,1,0,13,0,1,3
1051,0,0,12,0,0,5
1054,0,1,11,0,0,3
1055,1,0,11,0,1,3
1056,0,0,12,0,0,4
1059,1,1,11,1,1,3
1064,1,1,13,1,1,4
1065,1,0,12,1,1,1
1066,1,0,11,1,1,4
1069,0,0,13,0,0,1
1070,1,0,12,1,1,5
1073,1,0,12,1,1,2
1078,0,0,11,1,1,1
1079,1,0,12,1,1,5
1080,1,1,14,1,1,1
1083,1,0,10,0,1,1
1084,1,0,10,1,1,2
1085,0,1,14,1,0,2
1086,1,1,12,1,1,3
1087,0,0,14,1,1,2
1091,1,1,14,0,1,2
1092,1,0,10,1,1,1
1093,0,1,14,1,1,1
1094,1,1,11,1,1,1
1096,1,1,10,1,1,4
1097,0,0,10,0,0,1
1099,1,0,12,1,1,3
1100,1,0,12,1,1,2
1103,0,1,13,0,1,2
1104,1,0,11,1,1,4
1107,0,1,11,0,0,2
1108,1,1,13,0,1,5
1109,0,1,11,1,1,1
1113,0,1,12,1,0,3
1116,0,1,12,1,0,1
1117,1,1,12,0,1,2
1118,0,0,11,1,1,1
1120,1,1,14,1,1,5
1122,1,0,11,1,1,5
1127,0,1,12,0,1,4
1129,1,0,11,1,1,3
1131,1,0,11,1,1,1
1132,1,1,11,1,1,4
1134,0,1,10,1,0,2
1135,0,1,11,1,0,3
1139,1,1,15,1,1,4
1142,1,1,10,1,1,2
1147,0,1,11,1,0,3
1148,1,0,12,1,1,4
1150,1,1,12,1,1,3
1152,1,1,11,1,1,4
1153,1,0,11,1,1,5
1154,1,0,12,1,0,5
1158,1,1,13,0,1,1
1163,0,1,10,1,0,2
1165,0,1,11,0,0,4
1166,0,1,13,0,0,2
1168,1,1,14,1,1,3
1173,1,1,14,1,1,5
1177,0,1,10,1,0,5
1179,0,0,13,1,0,2
1183,0,1,11,0,0,4
1184,1,1,10,1,1,3
1185,0,0,12,0,0,4
1189,0,0,15,1,0,3
1193,1,0,13,0,0,3
1194,1,1,9,1,1,2
1198,0,1,11,1,1,3
1199,0,0,10,1,0,5
1200,1,0,10,1,1,4
1201,1,1,13,1,1,3
1204,0,1,14,0,0,3
1208,1,0,10,1,1,3
1209,1,0,12,0,1,2
1210,0,0,11,1,0,5
1211,1,0,10,1,1,3
1213,0,1,14,0,0,1
1214,0,0,11,1,0,3
1218,1,0,11,1,0,4
1223,0,1,11,1,0,5
1226,1,1,12,0,1,4
1227,1,1,12,1,1,1
1228,1,0,14,0,1,5
1235,1,0,11,1,1,4
1237,1,1,11,1,1,3
1238,0,1,12,1,0,4
1239,1,1,12,0,1,2
1240,0,0,13,1,0,4
1244,0,0,11,1,0,4
1247,0,0,12,0,0,3
1248,0,1,11,0,1,4
1250,1,1,14,1,1,4
1252,0,0,14,0,0,4
1255,1,0,11,1,1,2
1261,0,1,12,0,0,2
1263,0,0,11,1,0,4
1264,1,0,12,1,1,5
1267,1,0,11,1,1,5
1268,0,0,11,1,0,5
1271,1,1,11,1,1,3
1274,1,0,11,1,1,5
1277,1,0,11,1,1,2
1278,0,0,12,1,0,5
1279,0,1,11,0,0,1
1280,1,0,12,0,0,5
1283,0,0,11,1,0,2
1287,1,1,12,1,1,2
1289,1,1,14,1,1,5
1291,1,0,11,1,1,2
1295,1,0,15,1,0,4
1296,1,0,11,1,1,2
1298,1,0,14,1,1,2
1299,1,0,12,1,1,3
1304,0,1,15,1,0,5
1308,1,1,11,1,1,1
1309,1,1,15,1,1,1
1310,0,1,12,0,0,3
1311,0,1,12,1,0,4
1312,1,0,11,1,1,3
1313,1,0,14,0,1,4
1316,1,1,13,1,1,2
1320,0,0,12,0,0,2
1322,1,1,13,0,1,1
1325,1,1,12,1,1,2
1328,1,0,11,1,1,1
1329,1,1,13,1,1,3
1334,0,1,13,1,0,2
1336,0,1,13,1,0,4
1337,1,1,11,1,1,1
1338,0,0,11,1,0,5
1339,1,0,10,1,1,5
1341,1,1,10,1,1,3
1343,1,1,12,1,0,1
1344,0,1,15,1,0,4
1349,1,1,13,0,1,1
1352,0,1,12,1,0,2
1354,0,1,11,1,0,2
1358,0,1,11,0,0,2
1360,0,0,14,1,0,3
1364,1,1,13,0,1,2
1365,1,0,12,1,1,1
1366,1,0,12,1,1,5
1369,1,1,12,1,1,3
1370,0,0,11,1,1,3
1371,1,1,10,1,1,2
1372,0,0,12,1,0,5
1373,1,0,11,1,1,3
1375,1,1,10,1,1,1
1376,1,0,11,1,1,2
1377,1,1,12,1,1,4
1378,1,1,11,1,1,2
1379,1,1,12,0,1,1
1380,1,0,13,0,1,4
1381,1,0,14,1,1,3
1382,1,1,12,1,1,2
1383,1,0,12,1,1,4
1388,1,0,11,1,1,4
1390,1,0,11,1,1,2
1391,1,0,15,1,1,2
1392,0,1,12,1,0,1
1393,1,0,11,1,1,5
1394,1,0,10,1,1,1
1395,1,0,12,0,1,4
1397,0,1,15,1,0,2
1399,1,1,11,1,1,5
1400,1,0,15,1,1,2
1401,0,0,13,0,0,5
1402,0,1,12,1,0,1
1405,0,1,14,0,0,5
1406,0,1,13,0,0,1
1409,1,1,13,0,1,3
1412,0,1,14,1,0,5
1413,0,0,11,1,0,5
1418,0,0,11,1,0,5
1420,1,0,14,0,1,3
1422,1,1,16,0,0,4
1423,1,1,11,1,1,1
1424,0,0,11,1,0,4
1425,0,0,14,0,0,4
1429,0,0,11,1,1,4
1431,0,0,11,1,1,3
1432,1,0,13,1,1,4
1433,0,0,11,0,0,2
1434,1,0,10,1,1,1
1435,1,0,13,1,1,5
1437,1,1,13,1,1,2
1441,0,0,11,1,0,2
1442,0,1,13,0,0,5
1443,1,0,10,1,1,1
1453,1,0,9,1,1,4
1459,1,1,13,1,1,3
1460,1,1,14,0,1,5
1461,1,1,12,1,1,2
1462,1,0,13,1,1,1
1463,1,1,11,1,1,2
1465,0,1,14,1,0,1
1466,0,1,12,1,0,1
1467,1,0,11,0,1,3
1470,1,1,12,1,1,4
1473,1,1,12,0,1,5
1474,0,1,12,1,0,1
1477,0,1,14,0,0,5
1478,1,0,11,0,1,3
1479,1,1,10,1,1,4
1481,1,0,11,0,1,3
1483,1,0,14,1,1,2
1486,1,1,12,1,1,4
1488,1,0,13,1,1,5
1492,0,0,12,0,0,5
1493,0,1,15,1,0,4
1495,0,1,11,0,0,4
1496,1,0,11,1,1,2
1500,1,1,11,0,1,3
1501,1,1,12,1,1,3
1504,1,0,12,1,1,4
1507,1,1,11,1,1,2
1508,1,1,11,1,0,5
1510,0,0,11,1,0,1
1511,0,1,11,0,0,1
1512,1,0,13,1,1,3
1515,0,0,13,0,1,3
1517,1,1,15,0,1,3
1518,0,0,13,0,1,5
1520,0,0,11,0,0,3
1522,0,1,11,1,0,1
1523,0,1,11,1,1,2
1524,0,1,11,0,0,2
1530,1,0,12,1,0,1
1535,0,1,11,1,0,3
1536,0,0,14,0,0,1
1539,1,0,12,1,1,4
1540,1,0,12,0,1,2
1545,1,1,11,1,1,4
1546,1,0,12,1,1,4
1547,1,1,11,1,1,5
1548,1,1,12,1,0,1
1552,0,1,11,0,0,3
1554,1,0,11,1,1,1
1559,1,0,12,0,1,1
1560,1,0,11,1,1,1
1561,1,0,12,0,1,3
1562,0,1,10,0,0,3
1563,1,0,12,1,1,2
1567,1,1,12,1,1,2
1568,0,0,14,0,1,3
1571,1,0,11,1,1,3
1574,1,1,12,0,0,1
1576,1,0,17,0,0,2
1579,0,1,15,0,0,3
1580,1,0,12,1,1,3
1584,0,1,13,0,1,3
1586,1,0,13,1,0,1
1587,0,1,12,0,0,4
1590,1,1,13,0,1,5
1591,0,0,12,1,0,5
1596,1,0,13,1,1,1
1599,0,1,13,0,1,1
1600,1,0,11,0,1,3
1601,1,0,12,1,1,3
1604,0,0,11,1,0,1
1605,1,0,11,1,1,4
1607,1,1,13,0,1,3
1608,1,0,14,1,1,1
1611,1,0,13,1,1,2
1613,1,0,11,1,1,4
1614,1,1,13,0,0,1
1615,0,0,11,1,0,5
1617,0,1,13,1,0,4
1618,1,1,12,1,1,2
1619,0,1,12,1,0,3
1621,0,0,11,1,0,5
1622,1,1,15,1,1,5
1623,1,1,12,0,1,3
1624,1,1,11,1,1,3
1625,1,1,12,1,1,4
1628,0,1,11,0,0,5
1629,1,0,12,1,1,5
1632,1,0,11,1,1,3
1633,0,1,12,0,0,2
1637,1,0,11,0,1,3
1639,1,1,14,0,1,5
1642,1,0,13,1,1,5
1645,1,1,11,1,0,3
1650,0,0,10,1,0,4
1652,1,1,11,1,1,2
1653,1,1,11,1,1,5
1654,0,1,14,0,0,1
1658,1,1,11,1,1,4
1661,1,1,12,1,1,2
1663,1,1,12,1,1,3
1664,0,1,12,0,0,2
1666,1,1,13,0,1,5
1668,1,0,12,0,1,4
1673,1,0,12,1,1,5
1675,1,1,11,1,1,3
1678,1,1,12,1,1,1
1680,1,0,11,1,1,1
1685,1,0,11,1,1,2
1688,0,0,13,1,0,1
1689,0,0,12,1,0,5
1690,1,1,13,0,1,2
1695,1,1,15,0,0,5
1697,0,1,13,1,1,2
1702,1,0,11,1,1,3
1703,0,1,12,0,1,3
1704,1,1,12,1,1,1
1707,1,0,11,1,1,2
1708,1,0,11,0,1,5
1713,1,0,10,1,1,3
1714,1,1,14,1,1,3
1715,0,0,12,0,0,3
1716,1,0,10,0,1,4
1717,1,0,11,1,1,1
1719,0,0,14,0,0,1
1720,0,1,12,0,1,3
1722,0,0,11,1,0,1
1727,1,0,11,1,1,3
1728,0,1,11,1,0,5
1733,1,1,11,0,1,3
1734,1,1,14,1,1,4
1735,1,1,12,0,1,3
1736,0,1,14,0,0,2
1738,1,1,12,1,1,4
1740,1,1,13,0,1,3
1742,1,0,12,1,1,1
1744,0,0,11,1,0,5
1747,1,1,12,1,1,2
1750,0,0,13,1,1,5
1751,1,0,14,1,1,4
1756,0,1,10,1,0,1
1757,0,1,11,1,0,5
1758,1,1,12,1,1,1
1759,1,1,13,0,1,5
1761,1,0,13,1,1,5
1766,1,1,14,0,1,3
1769,0,0,11,1,0,2
1774,0,0,14,0,1,4
1778,1,1,11,1,1,1
1780,0,0,11,0,0,1
1781,1,1,10,1,1,3
1782,0,0,10,1,0,2
1788,0,0,13,1,1,1
1793,0,0,12,0,0,4
1795,0,0,10,1,0,5
1801,0,1,11,1,0,1
1806,0,0,12,0,1,2
1835,0,0,13,1,0,1
1836,0,0,11,1,0,4
1840,0,0,11,1,0,1
1842,0,0,13,0,1,4
1856,0,1,15,0,0,2
1862,0,1,13,1,1,1
1864,0,0,11,1,1,2
1870,0,1,12,1,0,5
1871,0,1,14,0,1,4
1878,0,0,11,0,0,3
1885,0,0,12,1,0,2
1886,0,0,13,1,1,3
1888,0,1,12,1,0,1
1894,0,1,13,1,0,2
1899,0,0,12,0,0,3
1900,0,1,14,1,1,3
1901,0,0,11,1,0,4
1906,0,1,12,1,0,1
1909,0,0,14,0,0,2
1910,0,0,10,0,0,3
1912,0,0,15,1,0,1
1914,1,0,12,1,1,3
1915,1,0,12,1,1,1
1917,0,1,11,1,1,5
1918,1,1,13,1,1,1
1919,0,0,14,0,0,1
1920,1,1,12,1,0,3
1922,0,0,12,0,0,2
1926,0,0,14,1,0,1
1933,0,1,11,1,0,4
1935,1,1,12,1,1,4
1936,0,1,12,1,0,5
1937,1,0,12,1,1,4
1940,1,1,11,1,1,2
1941,1,0,11,1,1,2
1945,1,1,11,0,1,3
1951,0,0,12,1,0,1
1955,1,1,12,1,1,1
1958,0,1,13,0,0,4
1960,0,0,11,1,0,2
1961,1,1,11,1,1,4
1962,0,0,12,1,0,5
1968,0,0,10,1,1,1
1970,0,0,11,1,0,1
1971,0,1,12,1,0,4
1972,1,0,12,1,1,1
1973,1,1,12,1,1,1
1974,1,0,13,1,1,2
1976,0,0,11,1,0,2
1979,1,0,11,1,1,3
1982,0,1,11,0,0,5
1983,1,1,11,0,1,5
1985,0,1,11,1,0,1
1990,1,1,14,0,0,5
1998,0,1,12,1,0,5
1999,0,0,11,1,0,3
2000,1,0,11,1,1,3
2002,1,0,13,1,1,2
2003,0,1,11,1,0,3
2004,0,1,11,1,1,3
2006,0,0,11,1,0,4
2009,1,1,12,0,1,1
2011,1,0,12,0,1,3
2012,0,1,11,1,0,3
2015,0,0,11,1,0,3
2016,0,0,12,1,0,1
2019,1,0,11,1,1,3
2021,1,1,14,1,1,3
2022,0,1,13,1,0,4
2024,1,0,11,0,1,3
2027,1,0,12,1,1,1
2031,0,0,14,1,0,5
2032,1,0,10,0,0,2
2033,1,1,12,0,1,1
2035,0,0,12,1,0,5
2039,1,1,11,1,1,5
2043,1,0,13,1,0,4
2044,0,0,11,1,0,5
2045,0,1,11,1,1,5
2047,0,1,15,0,0,5
2048,1,0,11,1,1,2
2049,0,0,13,0,1,4
2051,0,1,15,0,0,4
2054,0,1,13,0,0,3
2055,0,0,12,0,0,2
2056,1,1,11,0,1,3
2057,1,1,14,1,1,1
2058,0,1,11,1,1,2
2060,0,0,14,0,0,1
2064,1,1,11,0,1,2
2067,1,0,14,1,0,4
2068,0,1,11,1,0,1
2070,0,1,14,1,0,4
2071,0,1,12,0,0,3
2072,1,1,11,0,1,1
2073,1,0,13,1,1,5
2074,1,1,11,0,1,5
2077,0,0,13,1,0,5
2078,0,0,12,0,0,2
2079,1,0,13,1,1,5
2081,1,1,9,0,0,5
2084,1,1,13,1,1,2
2089,1,0,11,1,1,3
2091,0,0,10,1,0,4
2093,1,1,14,0,0,1
2094,0,1,11,0,1,5
2096,1,1,12,0,1,4
2097,0,1,12,1,0,2
2098,0,1,13,1,0,1
2101,1,0,11,1,1,5
2105,0,0,12,1,0,4
2108,1,0,11,1,1,3
2112,0,1,12,1,1,1
2113,1,1,12,1,1,4
2116,0,1,11,0,0,2
2119,0,0,11,1,1,5
2122,0,1,12,1,1,1
2123,0,1,14,1,0,5
2126,0,1,14,1,1,5
2133,0,1,11,1,0,3
2134,0,1,13,1,0,5
2135,0,0,13,0,1,3
2140,0,0,12,1,0,5
2150,1,0,11,0,0,3
2153,0,1,12,0,0,3
2157,1,0,12,1,1,5
2161,0,1,12,1,0,3
2168,0,1,12,0,0,3
2173,0,1,14,0,0,2
2176,0,0,11,0,1,1
2178,0,0,12,0,0,4
2179,1,0,13,1,1,5
